averageVolume,mid_price,dividend,returns,diff,target
310906.0,67.48790740966797,0.10650146484374999,-3.4492819144204447,-9.124892590332024,1
6322.0,24.450000762939453,0.0,-16.836731019788616,-0.02333923706054719,0
306614.0,34.459999084472656,0.0,-19.08899046486909,-3.854000915527344,1
257362.0,1.2200000286102295,0.0,-49.58677726661186,0.44822002861022947,0
84135.0,29.02853012084961,0.0,2.6568625143073525,-4.666269879150391,1
82532.0,9.770000457763672,0.0,0.30801527053900224,-0.061799542236327554,1
12620.0,51.380001068115234,0.0,-3.962614825952833,0.9718010681152336,0
40206.0,144.1636199951172,0.37680025609682677,12.708013227336496,-11.9515800048828,1
105967.0,4.400000095367432,0.0,-20.57761506020456,0.2624000953674317,0
32488.0,24.05826759338379,0.0,-13.793711715876428,-3.35861240661621,1
129066.0,9.461892127990723,0.19667775063382675,-10.52918963891228,-0.7145078720092766,1
192922.0,35.04999923706055,0.0,-4.417777509617365,3.4209992370605455,0
490750.0,7.208019256591797,0.05189773864746094,5.616825231866977,-1.8503807434082038,1
64317.0,36.470001220703125,0.0,2.242789719160412,-2.1085987792968766,1
45067.0,52.7599983215332,0.0,-0.649187624734297,-2.7725016784667957,1
33079.0,22.386301040649414,0.24342801315288587,-3.858080590386946,0.0039010406494135452,1
990154.0,4.670000076293945,0.0,-53.01810590102799,0.596600076293945,0
8340.0,26.402408599853516,0.4583168791470463,3.0303079923431753,0.07546859985351517,0
23366.0,32.61000061035156,0.1511674548841503,-6.146330645139155,0.825600610351561,0
761019.0,9.9399995803833,0.0,5.073990912270129,0.28819958038330107,0
575351.0,41.09000015258789,0.0,-8.790231190980684,-1.866599847412111,1
376406.0,114.65798950195312,0.9414519550128666,11.668087367767798,-1.3410104980468702,1
47879.0,19.653942108154297,0.5335641434238382,8.22938483981581,-0.6202578918457036,0
599588.0,220.7651824951172,0.0,-1.9581777804160674,-7.5166175048828165,1
1945656.0,42.88999938964844,0.0,17.0898120092665,4.8359993896484355,0
496980.0,9.84000015258789,0.0,-3.0541820452528343,-0.054299847412108804,0
14066.0,25.8621883392334,0.0,-0.3616210109515811,-1.7336116607666021,0
495272.0,2.0899999141693115,0.0,-57.34694135730235,0.4681999141693116,0
40116.0,59.26995086669922,0.0,0.7534560991256704,-3.343149133300784,1
3424674.0,103.2300033569336,0.0,68.31893082491753,-4.036396643066411,0
422270.0,33.689998626708984,0.0,9.632278322700056,5.367998626708985,0
11429.0,16.6407470703125,0.1399190486542166,-3.3338116112962974,-0.16365292968750111,0
10022959.0,114.72613525390625,0.0,-0.08407952192545959,-0.2364647460937448,1
336227.0,2.0,0.0,-11.89427238745225,0.29279999999999995,0
32138.0,12.43397331237793,0.15697465485873288,-22.22223083903151,1.1233733123779288,0
14541.0,17.632883071899414,0.060434895131359356,1.170207899557201,-0.9547169281005843,1
236230.0,82.81486511230469,0.0,-3.376113652309573,-2.9203348876953186,1
212069.0,3.869999885559082,0.0,-12.64108271962523,0.5027998855590821,0
68927.0,5.269999980926514,0.0,-27.70919055551071,-0.03340001907348622,1
146756.0,4.510000228881836,0.0,-21.23645894020565,0.22870022888183605,0
3260414.0,10.40999984741211,0.0,-42.613008833106356,-0.7006001525878904,0
115835.0,14.59395980834961,0.33034329093263015,2.0701335486764028,-0.8266401916503909,1
357203.0,7.909999847412109,0.0,-22.753906013531374,2.107199847412109,0
60588.0,25.871923446655273,0.0,-0.013319921516398247,-0.022936553344727884,0
1030367.0,43.54999923706055,0.0,8.65767776317127,1.1907992370605456,0
1188737.0,147.7899932861328,0.0,1.1705855925821897,-3.6036067138671797,0
636130.0,54.23787307739258,0.37847630949397737,1.358265037621187,-2.046926922607419,1
1254.0,18.288000106811523,0.0,-17.917416772014576,-0.6385798931884779,0
261404.0,10.899999618530273,0.0,-58.444529894181784,-2.2076003814697263,0
40835.0,46.599998474121094,0.19188985673042191,0.7548504093690825,4.474998474121094,0
1977230.0,12.970000267028809,0.0,-28.931505386143513,-2.366999732971191,0
92867.0,23.209999084472656,0.5877534836651527,5.836747658388211,0.8231990844726553,0
10020.0,38.22999954223633,0.0,-3.605648791420991,-0.08900045776367449,1
56154.0,3.2665531635284424,0.03922548392815291,-21.0816766106699,0.1373531635284424,0
1120954.0,9.989999771118164,0.0,-0.10000228881835936,-1.6714002288818364,0
3129337.0,5.989999771118164,0.0,93.85113066349268,-0.7078002288818359,1
13014.0,32.560001373291016,0.0,-4.8248213892256375,-2.0870586267089877,1
1699104.0,32.70000076293945,0.3450969943529939,-1.0290561233855946,-0.7645992370605441,1
1805362.0,22.329999923706055,0.0,-2.7862403516762373,-9.975800076293943,1
199638.0,3.880000114440918,0.0,-23.92156496088299,0.4332001144409179,0
421425.0,3.5299999713897705,0.0,-38.927338352003,0.7237999713897705,0
226803.0,49.68000030517578,0.0,-0.08045236231950774,0.10330030517577882,0
310482.0,50.540000915527344,0.0,12.862890337758316,6.916600915527347,0
29783.0,8.1899995803833,0.0,-19.705884965370867,0.23787958038330093,0
113485.0,22.43000030517578,0.0,-46.10763844111411,5.86790030517578,0
1028629.0,15.859999656677246,0.0,-23.34461456117293,0.3461996566772463,0
779461.0,1.3700000047683716,0.0,-26.73796784625852,0.35420000476837155,0
1010780.0,19.0,0.0,2.8695219618243177,-0.6085999999999991,1
378825.0,83.83000183105469,0.0,4.409018402243834,11.19880183105468,0
127917.0,25.860000610351562,0.0,-0.13591091691992216,0.05060061035156238,0
37180.0,14.875266075134277,0.16688827012053892,0.7371424548767705,0.3742660751342779,1
